name,value,year,lastValue,rank
TAI Tzu Ying,100267 ,2019W1,100267 ,1
OKUHARA Nozomi,85907 ,2019W1,85907 ,2
PUSARLA V. Sindhu,84264 ,2019W1,84264 ,3
CHEN Yufei,83529 ,2019W1,83529 ,4
YAMAGUCHI Akane,82813 ,2019W1,82813 ,5
MARIN Carolina,82426 ,2019W1,82426 ,6
HE Bingjiao,74679 ,2019W1,74679 ,7
INTANON Ratchanok,72787 ,2019W1,72787 ,8
NEHWAL Saina,64914 ,2019W1,64914 ,9
ZHANG Beiwen,60190 ,2019W1,60190 ,10
TAI Tzu Ying,100267 ,2019W2,100267 ,1
OKUHARA Nozomi,85907 ,2019W2,85907 ,2
PUSARLA V. Sindhu,84264 ,2019W2,84264 ,3
CHEN Yufei,83529 ,2019W2,83529 ,4
YAMAGUCHI Akane,82813 ,2019W2,82813 ,5
MARIN Carolina,82426 ,2019W2,82426 ,6
HE Bingjiao,74679 ,2019W2,74679 ,7
INTANON Ratchanok,72787 ,2019W2,72787 ,8
NEHWAL Saina,64914 ,2019W2,64914 ,9
ZHANG Beiwen,60190 ,2019W2,60190 ,10
TAI Tzu Ying,100267 ,2019W3,100267 ,1
OKUHARA Nozomi,85907 ,2019W3,85907 ,2
PUSARLA V. Sindhu,84264 ,2019W3,84264 ,3
CHEN Yufei,83529 ,2019W3,83529 ,4
YAMAGUCHI Akane,82813 ,2019W3,82813 ,5
MARIN Carolina,82426 ,2019W3,82426 ,6
HE Bingjiao,74679 ,2019W3,74679 ,7
INTANON Ratchanok,72787 ,2019W3,72787 ,8
NEHWAL Saina,64914 ,2019W3,64914 ,9
ZHANG Beiwen,60190 ,2019W3,60190 ,10
TAI Tzu Ying,99667 ,2019W4,99667 ,1
OKUHARA Nozomi,85907 ,2019W4,85907 ,2
PUSARLA V. Sindhu,84264 ,2019W4,84264 ,3
MARIN Carolina,83806 ,2019W4,83806 ,4
CHEN Yufei,83529 ,2019W4,83529 ,5
YAMAGUCHI Akane,82813 ,2019W4,82813 ,6
HE Bingjiao,74679 ,2019W4,74679 ,7
INTANON Ratchanok,72787 ,2019W4,72787 ,8
NEHWAL Saina,66294 ,2019W4,66294 ,9
ZHANG Beiwen,60190 ,2019W4,60190 ,10
TAI Tzu Ying,97467 ,2019W5,97467 ,1
MARIN Carolina,86566 ,2019W5,86566 ,2
OKUHARA Nozomi,85907 ,2019W5,85907 ,3
PUSARLA V. Sindhu,84264 ,2019W5,84264 ,4
CHEN Yufei,83899 ,2019W5,83899 ,5
YAMAGUCHI Akane,82813 ,2019W5,82813 ,6
HE Bingjiao,74679 ,2019W5,74679 ,7
INTANON Ratchanok,72417 ,2019W5,72417 ,8
NEHWAL Saina,67694 ,2019W5,67694 ,9
ZHANG Beiwen,60190 ,2019W5,60190 ,10
TAI Tzu Ying,97467 ,2019W6,97467 ,1
MARIN Carolina,86566 ,2019W6,86566 ,2
OKUHARA Nozomi,85907 ,2019W6,85907 ,3
CHEN Yufei,83899 ,2019W6,83899 ,4
YAMAGUCHI Akane,82813 ,2019W6,82813 ,5
PUSARLA V. Sindhu,82514 ,2019W6,82514 ,6
HE Bingjiao,74679 ,2019W6,74679 ,7
INTANON Ratchanok,71197 ,2019W6,71197 ,8
NEHWAL Saina,67694 ,2019W6,67694 ,9
SUNG Ji Hyun,58563 ,2019W6,58563 ,10
TAI Tzu Ying,97467 ,2019W7,97467 ,1
MARIN Carolina,86566 ,2019W7,86566 ,2
OKUHARA Nozomi,85153 ,2019W7,85153 ,3
CHEN Yufei,83899 ,2019W7,83899 ,4
YAMAGUCHI Akane,82813 ,2019W7,82813 ,5
PUSARLA V. Sindhu,80000 ,2019W7,80000 ,6
HE Bingjiao,74167 ,2019W7,74167 ,7
INTANON Ratchanok,71197 ,2019W7,71197 ,8
NEHWAL Saina,67694 ,2019W7,67694 ,9
TAKAHASHI Sayaka,58056 ,2019W7,58056 ,10
