name,value,year,lastValue,rank
TAI Tzu Ying,100267,2019.01 ,100267,1
OKUHARA Nozomi,85907,2019.01 ,85907,2
PUSARLA V. Sindhu,84264,2019.01 ,84264,3
CHEN Yufei,83529,2019.01 ,83529,4
YAMAGUCHI Akane,82813,2019.01 ,82813,5
MARIN Carolina,82426,2019.01 ,82426,6
HE Bingjiao,74679,2019.01 ,74679,7
INTANON Ratchanok,72787,2019.01 ,72787,8
NEHWAL Saina,64914,2019.01 ,64914,9
ZHANG Beiwen,60190,2019.01 ,60190,10
TAI Tzu Ying,100267,2019.02 ,100267,1
OKUHARA Nozomi,85907,2019.02 ,85907,2
PUSARLA V. Sindhu,84264,2019.02 ,84264,3
CHEN Yufei,83529,2019.02 ,83529,4
YAMAGUCHI Akane,82813,2019.02 ,82813,5
MARIN Carolina,82426,2019.02 ,82426,6
HE Bingjiao,74679,2019.02 ,74679,7
INTANON Ratchanok,72787,2019.02 ,72787,8
NEHWAL Saina,64914,2019.02 ,64914,9
ZHANG Beiwen,60190,2019.02 ,60190,10
TAI Tzu Ying,100267,2019.03 ,100267,1
OKUHARA Nozomi,85907,2019.03 ,85907,2
PUSARLA V. Sindhu,84264,2019.03 ,84264,3
CHEN Yufei,83529,2019.03 ,83529,4
YAMAGUCHI Akane,82813,2019.03 ,82813,5
MARIN Carolina,82426,2019.03 ,82426,6
HE Bingjiao,74679,2019.03 ,74679,7
INTANON Ratchanok,72787,2019.03 ,72787,8
NEHWAL Saina,64914,2019.03 ,64914,9
ZHANG Beiwen,60190,2019.03 ,60190,10
TAI Tzu Ying,99667,2019.04 ,99667,1
OKUHARA Nozomi,85907,2019.04 ,85907,2
PUSARLA V. Sindhu,84264,2019.04 ,84264,3
MARIN Carolina,83806,2019.04 ,83806,4
CHEN Yufei,83529,2019.04 ,83529,5
YAMAGUCHI Akane,82813,2019.04 ,82813,6
HE Bingjiao,74679,2019.04 ,74679,7
INTANON Ratchanok,72787,2019.04 ,72787,8
NEHWAL Saina,66294,2019.04 ,66294,9
ZHANG Beiwen,60190,2019.04 ,60190,10
TAI Tzu Ying,97467,2019.05 ,97467,1
MARIN Carolina,86566,2019.05 ,86566,2
OKUHARA Nozomi,85907,2019.05 ,85907,3
PUSARLA V. Sindhu,84264,2019.05 ,84264,4
CHEN Yufei,83899,2019.05 ,83899,5
YAMAGUCHI Akane,82813,2019.05 ,82813,6
HE Bingjiao,74679,2019.05 ,74679,7
INTANON Ratchanok,72417,2019.05 ,72417,8
NEHWAL Saina,67694,2019.05 ,67694,9
ZHANG Beiwen,60190,2019.05 ,60190,10
TAI Tzu Ying,97467,2019.06 ,97467,1
MARIN Carolina,86566,2019.06 ,86566,2
OKUHARA Nozomi,85907,2019.06 ,85907,3
CHEN Yufei,83899,2019.06 ,83899,4
YAMAGUCHI Akane,82813,2019.06 ,82813,5
PUSARLA V. Sindhu,82514,2019.06 ,82514,6
HE Bingjiao,74679,2019.06 ,74679,7
INTANON Ratchanok,71197,2019.06 ,71197,8
NEHWAL Saina,67694,2019.06 ,67694,9
SUNG Ji Hyun,58563,2019.06 ,58563,10
TAI Tzu Ying,97467,2019.07 ,97467,1
MARIN Carolina,86566,2019.07 ,86566,2
OKUHARA Nozomi,85153,2019.07 ,85153,3
CHEN Yufei,83899,2019.07 ,83899,4
YAMAGUCHI Akane,82813,2019.07 ,82813,5
PUSARLA V. Sindhu,80000,2019.07 ,80000,6
HE Bingjiao,74167,2019.07 ,74167,7
INTANON Ratchanok,71197,2019.07 ,71197,8
NEHWAL Saina,67694,2019.07 ,67694,9
TAKAHASHI Sayaka,58056,2019.07 ,58056,10
TAI Tzu Ying,97467,2019.08 ,97467,1
OKUHARA Nozomi,85153,2019.08 ,85153,2
MARIN Carolina,83990,2019.08 ,83990,3
CHEN Yufei,83899,2019.08 ,83899,4
YAMAGUCHI Akane,82813,2019.08 ,82813,5
PUSARLA V. Sindhu,80000,2019.08 ,80000,6
HE Bingjiao,74167,2019.08 ,74167,7
INTANON Ratchanok,71197,2019.08 ,71197,8
NEHWAL Saina,67694,2019.08 ,67694,9
TAKAHASHI Sayaka,58056,2019.08 ,58056,10
TAI Tzu Ying,97467,2019.09 ,97467,1
OKUHARA Nozomi,85153,2019.09 ,85153,2
MARIN Carolina,83990,2019.09 ,83990,3
CHEN Yufei,83899,2019.09 ,83899,4
YAMAGUCHI Akane,82813,2019.09 ,82813,5
PUSARLA V. Sindhu,80000,2019.09 ,80000,6
HE Bingjiao,74167,2019.09 ,74167,7
INTANON Ratchanok,71197,2019.09 ,71197,8
NEHWAL Saina,67694,2019.09 ,67694,9
SUNG Ji Hyun,57826,2019.09 ,57826,10
TAI Tzu Ying,97467,2019.10 ,97467,1
OKUHARA Nozomi,85153,2019.10 ,85153,2
MARIN Carolina,83990,2019.10 ,83990,3
CHEN Yufei,83899,2019.10 ,83899,4
YAMAGUCHI Akane,82813,2019.10 ,82813,5
PUSARLA V. Sindhu,80000,2019.10 ,80000,6
HE Bingjiao,74167,2019.10 ,74167,7
INTANON Ratchanok,71947,2019.10 ,71947,8
NEHWAL Saina,67694,2019.10 ,67694,9
SUNG Ji Hyun,57826,2019.10 ,57826,10
TAI Tzu Ying,95667,2019.11 ,95667,1
CHEN Yufei,87499,2019.11 ,87499,2
OKUHARA Nozomi,86953,2019.11 ,86953,3
YAMAGUCHI Akane,81013,2019.11 ,81013,4
MARIN Carolina,80390,2019.11 ,80390,5
PUSARLA V. Sindhu,76640,2019.11 ,76640,6
HE Bingjiao,75727,2019.11 ,75727,7
INTANON Ratchanok,71947,2019.11 ,71947,8
NEHWAL Saina,69254,2019.11 ,69254,9
SUNG Ji Hyun,60106,2019.11 ,60106,10
TAI Tzu Ying,95667,2019.12 ,95667,1
CHEN Yufei,88079,2019.12 ,88079,2
OKUHARA Nozomi,86953,2019.12 ,86953,3
YAMAGUCHI Akane,81013,2019.12 ,81013,4
MARIN Carolina,80390,2019.12 ,80390,5
PUSARLA V. Sindhu,76640,2019.12 ,76640,6
HE Bingjiao,75727,2019.12 ,75727,7
INTANON Ratchanok,71947,2019.12 ,71947,8
NEHWAL Saina,69254,2019.12 ,69254,9
SUNG Ji Hyun,60686,2019.12 ,60686,10
TAI Tzu Ying,95667,2019.13 ,95667,1
CHEN Yufei,88079,2019.13 ,88079,2
OKUHARA Nozomi,86953,2019.13 ,86953,3
YAMAGUCHI Akane,81013,2019.13 ,81013,4
MARIN Carolina,80390,2019.13 ,80390,5
PUSARLA V. Sindhu,76640,2019.13 ,76640,6
HE Bingjiao,75727,2019.13 ,75727,7
INTANON Ratchanok,71947,2019.13 ,71947,8
NEHWAL Saina,69254,2019.13 ,69254,9
SUNG Ji Hyun,60686,2019.13 ,60686,10
TAI Tzu Ying,95667,2019.14 ,95667,1
CHEN Yufei,88079,2019.14 ,88079,2
OKUHARA Nozomi,86953,2019.14 ,86953,3
YAMAGUCHI Akane,81013,2019.14 ,81013,4
MARIN Carolina,80390,2019.14 ,80390,5
PUSARLA V. Sindhu,78020,2019.14 ,78020,6
HE Bingjiao,77470,2019.14 ,77470,7
INTANON Ratchanok,75197,2019.14 ,75197,8
NEHWAL Saina,69254,2019.14 ,69254,9
SUNG Ji Hyun,60686,2019.14 ,60686,10
TAI Tzu Ying,95667,2019.15 ,95667,1
CHEN Yufei,88779,2019.15 ,88779,2
OKUHARA Nozomi,88200,2019.15 ,88200,3
YAMAGUCHI Akane,83943,2019.15 ,83943,4
MARIN Carolina,77000,2019.15 ,77000,5
PUSARLA V. Sindhu,75360,2019.15 ,75360,6
HE Bingjiao,74177,2019.15 ,74177,7
INTANON Ratchanok,73547,2019.15 ,73547,8
NEHWAL Saina,69254,2019.15 ,69254,9
SUNG Ji Hyun,61936,2019.15 ,61936,10
TAI Tzu Ying,97867,2019.16 ,97867,1
OKUHARA Nozomi,88800,2019.16 ,88800,2
CHEN Yufei,88779,2019.16 ,88779,3
YAMAGUCHI Akane,83943,2019.16 ,83943,4
MARIN Carolina,77000,2019.16 ,77000,5
PUSARLA V. Sindhu,76740,2019.16 ,76740,6
HE Bingjiao,74177,2019.16 ,74177,7
INTANON Ratchanok,73547,2019.16 ,73547,8
NEHWAL Saina,69254,2019.16 ,69254,9
SUNG Ji Hyun,62076,2019.16 ,62076,10
TAI Tzu Ying,97867,2019.17 ,97867,1
OKUHARA Nozomi,88800,2019.17 ,88800,2
CHEN Yufei,88779,2019.17 ,88779,3
YAMAGUCHI Akane,83943,2019.17 ,83943,4
